metric,value,units
wing_airfoil,CLARKY,-
trim_Re,62484.07110433171,-
trim_alpha_deg,7.074134038687401,deg
wing_span_m,0.40000000399445795,m
wing_chord_m,0.12000000119480136,m
wing_taper,0.2999999941105274,-
wing_twist_deg,-0.5249266562483579,deg
wing_AR,5.128205151588873,-
tail_arm_m,0.3501709002890845,m
tail_chord_m,0.03398035640754651,m
tail_semispan_m,0.039999999227840075,m
tail_incidence_deg,-5.685167659308556,deg
tail_volume_coefficient,0.25425067230367376,-
total_mass_kg,0.1696295838341683,kg
structural_mass_kg,0.04595467823353137,kg
ballast_mass_kg,0.003674905600636923,kg
battery_x_m,-0.20000000195508405,m
motor_x_m,0.09999999813067105,m
trim_speed_mps,10.667978494145792,m/s
trim_L_over_D,10.055934669879598,-
sink_rate_mps,1.0608639419764172,m/s
optimized_flight_time_s,12.692895132769692,s
optimized_range_m,141.15075351114322,m
